id;date;datetime_source;id;name;popularity;type;date_name;lat;lng;popularity_median;followers_sum;danceability_median;energy_median;key_mode;loudness_median;mode_mode;speechiness_median;acousticness_median;instrumentalness_median;liveness_median;valence_median;duration_ms_mean;time_signature_mode
99;15/5/2018 0:00;2018-05-15T19:00:00+0100;33829749;Shakka at Archspace (May 15, 2018);0.00733;Concert;Tuesday;51.536671;-0.0758036;65;32166;0.706;0.67;[6];-6.765;[0];0.0987;0.188;0;0.1705;0.711;248897.4;[4]
115;16/5/2018 0:00;2018-05-16T19:30:00+0100;32855309;Deva Mahal at Rich Mix (May 16, 2018);0.000272;Concert;Wednesday;51.5242313;-0.0738117;44;4212;0.516;0.509;[7];-6.721;[0];0.0425;0.305;2.79E-05;0.0917;0.2515;247619.6;[4]
117;16/5/2018 0:00;2018-05-16T19:00:00+0100;32881584;Joey Dosik at The Jazz Cafe (May 16, 2018);0.000794;Concert;Wednesday;51.5387092;-0.1430815;44;8053;0.5455;0.301;[10];-12.2545;[1];0.0405;0.876;0.40732;0.108;0.3475;185404.3;[4]
126;16/5/2018 0:00;2018-05-16T19:30:00+0100;33188974;Rothwell with Emma McGrath at Thousand Island (formerly Upstairs at The Garage) (May 16, 2018);0.000272;Concert;Wednesday;51.5466983;-0.1038429;40.5;1786;0.626;0.484;[0];-7.636;[1];0.04245;0.4735;0;0.102;0.414;201275.6875;[4]
130;16/5/2018 0:00;2018-05-16T19:30:00+0100;33284009;Max Frost with Matt Wilson (UK) at Hoxton Square Bar & Kitchen (May 16, 2018);0.014707;Concert;Wednesday;51.527476;-0.081657;58;47017;0.78;0.7925;[7];-5.266;[1];0.0688;0.1066;0.002445;0.1135;0.743;204298.6;[4]
150;16/5/2018 0:00;2018-05-16T20:00:00+0100;33659314;Hejira and Tawiah with Fran & Flora at Kings Place (May 16, 2018);0.001645;Concert;Wednesday;51.534649;-0.122138;16.5;1810;0.5685;0.4205;[9];-10.8315;[1];0.03725;0.4475;0.0127;0.131;0.2365;282525.55;[4]
151;16/5/2018 0:00;2018-05-16T19:00:00+0100;33683804;Joel Culpepper with Aaron Taylor and San Scout at Omeara (May 16, 2018);0.001015;Concert;Wednesday;51.5041429;-0.094603;40;14393;0.603;0.5445;[0];-7.2645;[1];0.07195;0.281;0.0001825;0.113;0.4985;220996.4;[4]
192;17/5/2018 0:00;2018-05-17T19:30:00+0100;32966234;The Magic Numbers with Ren Harvieu and Penelope Isles at Student Central (ULU) (May 17, 2018);0.025813;Concert;Thursday;51.5214099;-0.1302396;13;54155;0.4595;0.6165;[2];-6.5385;[1];0.03395;0.157;0.000152;0.1445;0.398;254702.3182;[4]
203;17/5/2018 0:00;2018-05-17T19:00:00+0100;33387189;NOYA RAO at Archspace (May 17, 2018);3.90E-05;Concert;Thursday;51.536671;-0.0758036;16;539;0.709;0.437;[7];-10.0975;[0];0.05235;0.616;0.1535;0.103;0.262;225399.9;[4]
233;17/5/2018 0:00;2018-05-17T19:00:00+0100;33843439;Boadi at Relentless No 5 (May 17, 2018);3.40E-05;Concert;Thursday;51.5152444;-0.1292319;28;1072;0.5915;0.3965;[0];-10.762;[0];0.07845;0.517;0.003855;0.118;0.379;173879.9;[4]
