index_left;_id;date;datetime;id;lastfm;name;popularity;time;type;date_name;lat;lng;popularity_median;followers_sum;danceability_median;energy_median;key_mode;loudness_median;mode_mode;speechiness_median;acousticness_median;instrumentalness_median;liveness_median;valence_median;duration_ms_mean;time_signature_mode;geometry
1904;5b036c24e926df00044b2fd6;29/5/2018 0:00;29/5/2018 18:00;33746824;{'listeners': [526096], 'listeners_sum': 526096, 'playcount': [11509121], 'playcount_sum': 11509121, 'tags': ['trip-hop', 'downtempo', 'ninja tune', 'electronic', 'Hip-Hop', 'chillout', 'instrumental hip-hop', 'electronica', 'hip hop', 'Hann with Gun']};Blockhead at Archspace (May 29, 2018);0.018552;19:00:00;Concert;Tuesday;51.536671;-0.0758036;54;87263;0.6445;0.6425;[7];-9.3195;[0];0.05385;0.06305;0.5455;0.0922;0.4755;306521.5;[4];POINT (-0.0758036 51.536671)
1982;5b04bdeeb968f00004dc49d9;31/5/2018 0:00;31/5/2018 17:30;31487179;{'listeners': [1455995, 81364, 566], 'listeners_sum': 1537925, 'playcount': [79322745, 771233, 2721], 'playcount_sum': 80096699, 'tags': ['downtempo', 'electronic', 'chillout', 'trip-hop', 'ninja tune', 'seen live', 'electronica', 'lounge', 'ambient', 'downbeat', 'soul', 'Neo-Soul', 'electronica', 'r&b', 'rnb', 'Neo Soul', 'australian', 'australia', 'All', 'electronic', 'vocal', 'arabic', 'american', 'african', 'percussion', 'traditional', 'lute', 'Gnawa', 'mediterranean', 'North African']};Bonobo with Jordan Rakei and Innov Gnawa at Alexandra Palace (May 31, 2018);0.134623;18:30:00;Concert;Thursday;51.5907857;-0.1331833;61;835634;0.5535;0.5735;[1];-9.927;[1];0.05355;0.2415;0.00157;0.1175;0.4895;321276.1667;[4];POINT (-0.1331833 51.5907857)
2008;5b04be35b968f00004dc4a13;31/5/2018 0:00;31/5/2018 18:00;33302124;{'listeners': [176173, 242833], 'listeners_sum': 419006, 'playcount': [2902396, 4653208], 'playcount_sum': 7555604, 'tags': ['ambient', 'drone', 'experimental', 'minimal', 'electronic', 'minimalism', 'Avant-Garde', 'seen live', 'tape music', 'avantgarde', 'ambient', 'experimental', 'electronic', 'glitch', 'electronica', 'seen live', 'noise', 'minimal', 'idm', 'drone']};William Basinski and Fennesz at Union Chapel (May 31, 2018);0.006305;19:00:00;Concert;Thursday;51.5443277;-0.1028893;44.5;52003;0.185;0.09815;[2];-24.083;[1];0.0372;0.94;0.897;0.10095;0.0644;497477.8;[4];POINT (-0.1028893 51.5443277)
2055;5b04bf36b968f00004dc4ac5;1/6/2018 0:00;1/6/2018 22:00;32868514;{'listeners': [216043, 50715, 3830, 550, 4272, 47, 14, 127133], 'listeners_sum': 402604, 'playcount': [1283119, 301028, 11173, 1869, 22541, 119, 24, 851613], 'playcount_sum': 2471486, 'tags': ['House', 'electronic', 'deep house', 'bass', 'british', 'under 2000 listeners', 'dance', 'hard rock', 'dubstep', 'dj', 'House', 'deep house', 'minimal', 'electronic', 'UK Garage', 'techno', 'tech-house', 'seen live', 'dance', 'tech house', 'seen live', 'groovy', 'accoustic', 'northern soul', 'bubblegum pop', 'smashing', '60s pop', 'Fabulous', 'kizomba', 'fab', 'chillwave', 'electronic', 'Mcsclion Channel', 'chillout', 'seen live', 'electropop', 'indie', 'pop', 'electro', 'All']};Route 94, Huxley, Eli Brown, Stray Beast, and 4 more… at fabric (June 1, 2018);0.030258;23:00:00;Concert;Friday;51.5195531;-0.1024779;43;204823;0.766;0.717;[1];-7.644;[0];0.0552;0.00742;0.774;0.102;0.415;288157.5079;[4];POINT (-0.1024779 51.5195531)
2091;5b04bf92b968f00004dc4b0e;1/6/2018 0:00;1/6/2018 21:00;33711989;{'listeners': [299, 16046, 190], 'listeners_sum': 16535, 'playcount': [844, 86956, 312], 'playcount_sum': 88112, 'tags': ['Stones throw', 'soul', 'experimental', 'seen live', 'violin']};Emma-Jean Thackray, Sudan Archives, and Hunrosa at CLF Art Cafe, The Bussey Building (June 1, 2018);0.0007;22:00:00;Concert;Friday;51.4698563;-0.0679964;28;14407;0.646;0.503;[2];-11.166;[0];0.0536;0.107;0.0674;0.16;0.36;195596.5926;[4];POINT (-0.0679964 51.4698563)
2;5af9c6e30cc9ab0004e227d6;14/5/2018 0:00;14/5/2018 17:45;31785344;{'listeners': [721424, 19477], 'listeners_sum': 740901, 'playcount': [23518515, 161253], 'playcount_sum': 23679768, 'tags': ['ambient', 'instrumental', 'icelandic', 'post-rock', 'Classical', 'contemporary classical', 'neoclassical', 'seen live', 'piano', 'modern classical', 'hang drum', 'ambient', 'experimental', 'chillout', 'instrumental', 'seen live', 'hang', 'jazz', 'relax', 'acoustic']};Ólafur Arnalds with Manu Delago at Royal Albert Hall (May 14, 2018);0.032852;18:45:00;Concert;Monday;51.500786;-0.1781517;50.5;279290;0.3685;0.232;[3];-16.8295;[1];0.03685;0.9635;0.8985;0.09895;0.1255;276532.15;[4];POINT (-0.1781517 51.500786)
16;5af9c70a0cc9ab0004e227f7;14/5/2018 0:00;14/5/2018 18:30;33264169;{'listeners': [68, 29], 'listeners_sum': 97, 'playcount': [253, 233], 'playcount_sum': 486, 'tags': ['jazz', 'vocal', 'pop', 'folk', 'singer-songwriter', 'Voice', 'dark folk', 'great american songbook']};David Sinclair Four with Maaike Siegerist at The Social (May 14, 2018);1.20E-05;19:30:00;Concert;Monday;51.5172521;-0.1407694;0;55;0.521;0.124;[2];-14.679;[0];0.03945;0.8655;0.000131815;0.119;0.242;190796.4;[4];POINT (-0.1407694 51.5172521)
23;5af9c71d0cc9ab0004e22806;14/5/2018 0:00;14/5/2018 20:15;33492309;{'listeners': [106551], 'listeners_sum': 106551, 'playcount': [524653], 'playcount_sum': 524653, 'tags': ['female vocalists', 'pop', 'country', '70s', 'james bond', 'easy listening', 'jazz', 'female singers', 'rita coolidge', 'Soundtrack']};Rita Coolidge at Boisdale of Canary Wharf (May 14, 2018);0.0068;21:15:00;Concert;Monday;51.5051802;-0.0216597;41;33886;0.466;0.315;[2];-13.48;[1];0.03265;0.6165;0.00013195;0.13;0.315;246123.3;[4];POINT (-0.0216597 51.5051802)
39;5af9c7510cc9ab0004e22831;15/5/2018 0:00;15/5/2018 18:00;31265734;{'listeners': [262011, 10531, 2350, 1907, 8538, 3337, 58, 170, 569], 'listeners_sum': 289471, 'playcount': [3181497, 97312, 18330, 20713, 54159, 50375, 480, 501, 5039], 'playcount_sum': 3428406, 'tags': ['jazz', 'Fusion', 'guitar', 'jazz guitar', 'jazz fusion', 'funk', 'seen live', 'contemporary jazz', 'instrumental', 'John Scofield', 'jazz', 'contemporary jazz', 'piano', 'nu jazz', 'jazz piano', 'seen live', 'american', 'nu-jazz', 'tolisten', 'Modern creative jazz', 'jazz', 'drums', 'drummer', 'seen live', 'Contemporary', 'USA', 'Post-Bop', 'contemporary jazz', 'under 2000 listeners', 'bill stewart', 'jazz', 'guitar', 'jazz guitar', 'Fusion', 'jazz fusion', 'seen live', 'instrumental', 'favorites', 'contemporary jazz', 'Post Bop', 'jazz', 'piano', 'funk', 'jazz piano', 'seen live', 'Hammond', 'organ', 'instrumental', 'jazz-funk', 'groove', 'jazz', 'Fusion', 'acid jazz', 'jazz guitar', 'jazz fusion', 'instrumental', 'modern jazz', 'guitar', 'seen live', 'experimental', 'contemporary jazz', 'jazz piano', 'steve swallow', 'Great Jazz', 'great pianists', 'our time', 'deidre rodman', 'jazz', 'Fusion', 'jazz fusion', 'jazz guitar', 'guitar', '70s', 'blues', 'groove', 'Smooth Jazz', 'g jazz']};John Scofield with Gerald Clayton, Bill Stewart, John Scofield Trio, and 5 more… at Union Chapel (May 15, 2018);0.012149;19:00:00;Concert;Tuesday;51.5443277;-0.1028893;;;;;;;;;;;;;;;POINT (-0.1028893 51.5443277)
68;5af9c7a10cc9ab0004e22877;15/5/2018 0:00;15/5/2018 18:00;33203744;{'listeners': [2744], 'listeners_sum': 2744, 'playcount': [16295], 'playcount_sum': 16295, 'tags': ['jazz', 'female vocalists', 'singer-songwriter', 'singer']};Hailey Tuck at Rich Mix (May 15, 2018);0.000192;19:00:00;Concert;Tuesday;51.5242313;-0.0738117;39;3603;0.6835;0.361;[7];-9.4485;[1];0.03905;0.711;0.00010625;0.0979;0.404;213733.1;[4];POINT (-0.07381169999999999 51.5242313)
