osm_id,name,ref,type,oneway,bridge,maxspeed,WKT,x1,y1,x2,y2
30275210,,,pedestrian,0,0,,,529621.70,181709.50,529608.08,181709.50
30275211,,,pedestrian,0,0,,,529646.28,181638.86,529646.28,181681.54
30279582,Charlotte Street,,unclassified,0,0,20,,529481.13,181671.43,529295.70,181927.42
30279583,Berners Place,,service,0,0,,,529435.20,181371.03,529469.54,181371.03
30279885,Berners Mews,,service,1,0,,,529361.32,181639.50,529350.23,181639.50
30279886,Berners Street,,unclassified,1,0,,,529313.36,181608.61,529396.60,181427.03
30279887,Eastcastle Street,,unclassified,0,0,,,529396.60,181438.03,529476.52,181451.32
30279888,Wells Mews,,service,0,0,,,529281.48,181548.84,529367.69,181417.39
30279889,Wells Mews,,service,1,0,,,529313.23,181467.96,529299.75,181467.96
30279890,Margaret Street,,unclassified,1,0,,,529163.52,181453.77,529300.45,181467.98
30279893,Mortimer Street,A5204,primary,1,0,30,,528958.85,181470.60,529040.12,181494.75
30280293,Riding House Street,,unclassified,1,0,,,529018.08,181561.36,528939.60,181516.67
30280294,Hanson Street,,unclassified,1,0,,,529096.51,181680.80,529136.75,181680.80
30280295,,,service,0,0,,,529130.90,181918.61,529110.26,181903.79
30280296,Conway Mews,,service,0,0,,,529155.17,182005.47,529193.28,182023.85
30280297,Bromley Place,,service,0,0,,,529152.34,181992.61,529138.03,181985.72
30280298,Fitzroy Mews,,service,0,0,,,529060.47,182047.66,529079.53,182047.66
30280299,Fitzroy Mews,,service,0,0,,,529059.34,182047.66,529088.17,182035.64
30280396,Whitfield Street,,unclassified,1,0,20,,529363.80,181975.94,529365.96,181975.94
30280899,,,service,0,0,,,529125.71,182031.02,529124.44,182028.77
30280900,,,pedestrian,0,0,,,529195.34,182080.61,529191.84,182080.56
30280901,Maple Place,,service,0,0,20,,529276.19,182036.04,529293.40,182017.49
30280902,,,service,0,0,20,,529262.54,182026.80,529275.48,182012.59
30281535,,,service,0,0,,,529110.88,182116.50,529121.68,182109.93
30341276,,,footway,0,0,,,530436.74,182250.98,530438.96,182253.75
30341304,,,footway,0,0,,,530371.90,182311.03,530389.43,182290.31
30345817,,,service,1,0,,,529391.27,182243.34,529423.01,182243.34
30345821,,,service,1,0,,,529427.09,182292.71,529395.38,182292.71
30345824,,,service,1,0,,,529391.27,182292.71,529391.27,182290.38
30345826,Midford Place,,service,0,0,,,529349.98,182108.98,529302.88,182108.98
30613328,,,footway,0,0,,,530759.31,181353.68,530704.37,181353.68
30613329,,,footway,0,0,,,530885.62,181428.17,530867.09,181424.64
30613330,Three Cups Yard,,service,0,0,,,530798.41,181707.33,530782.75,181707.33
30613615,,,footway,0,0,,,530845.44,181908.17,530848.50,181903.75
